State,Code,Year,Total Crimes,Total Property Crime Count,Burglary,Larceny,Motor,Total Violent Crime Count,Assault,Murder,Rape,Robbery
Alabama,AL,2000,202159,180539,40331,127399,12809,21620,14107,329,1482,5702
Alabama,AL,2001,192835,173253,40642,119992,12619,19582,12250,379,1369,5584
Alabama,AL,2002,200331,180400,42578,123932,13890,19931,12002,303,1664,5962
Alabama,AL,2003,201572,182241,43245,124039,14957,19331,11338,299,1656,6038
Alabama,AL,2004,201664,182340,44666,123650,14024,19324,11286,254,1742,6042
Alabama,AL,2005,197071,177393,43473,120780,13140,19678,11293,374,1564,6447
Alabama,AL,2006,200802,181249,44780,121451,15018,19553,10463,382,1646,7062
Alabama,AL,2007,204857,184082,45379,124465,14238,20775,11417,412,1548,7398
Alabama,AL,2008,211526,190416,50411,126539,13466,21110,11795,351,1618,7346
Alabama,AL,2009,199201,178007,48844,118072,11091,21194,13103,322,1504,6265
Alabama,AL,2010,187191,168828,42484,115564,10780,18363,11869,275,1355,4864
Alabama,AL,2011,193358,173192,51119,111411,10662,20166,13591,299,1370,4906
Alabama,AL,2012,190571,168878,47481,111523,9874,21693,15035,342,1296,5020
Alabama,AL,2013,182819,161993,42429,108993,10571,20826,13787,347,2044,4648
Alabama,AL,2014,174821,154094,39715,104238,10141,20727,13745,276,2005,4701
Alabama,AL,2015,167698,144746,35255,99156,10335,22952,15954,348,2039,4611
Alabama,AL,2016,169248,143362,34065,97574,11723,25886,18877,407,1916,4686
Alabama,AL,2017,169711,144160,31477,99842,12841,25551,18902,404,2028,4217
Alabama,AL,2018,163099,137700,28841,95747,13112,25399,18944,383,1996,4076
Alabama,AL,2019,156179,131133,26079,92477,12577,25046,18679,358,2068,3941
Alaska,AK,2000,26641,23087,3899,16838,2350,3554,2540,27,497,490
Alaska,AK,2001,26895,23160,3847,16695,2618,3735,2681,39,501,514
Alaska,AK,2002,27745,24118,3908,17739,2471,3627,2594,33,511,489
Alaska,AK,2003,28263,24386,3874,18051,2461,3877,2787,39,605,446
Alaska,AK,2004,26331,22172,3773,16159,2240,4159,3117,37,558,447
Alaska,AK,2005,28169,23975,4131,17249,2595,4194,3087,32,538,537
Alaska,AK,2006,28585,23975,4155,17284,2536,4610,3462,36,512,600
Alaska,AK,2007,27616,23096,3734,16929,2433,4520,3351,43,545,581
Alaska,AK,2008,24565,20090,3237,15225,1628,4475,3356,27,447,645
Alaska,AK,2009,24962,20538,3600,15251,1687,4424,3235,22,513,654
Alaska,AK,2010,24796,20259,3105,15535,1619,4537,3379,31,533,594
Alaska,AK,2011,23510,19094,2852,14854,1388,4416,3374,30,436,576
Alaska,AK,2012,24449,20037,2950,15565,1522,4412,3169,30,583,630
Alaska,AK,2013,25918,21210,2916,16599,1695,4708,3128,34,922,624
Alaska,AK,2014,25018,20334,3150,15445,1739,4684,3243,41,771,629
Alaska,AK,2015,26198,20806,3511,15249,2046,5392,3671,59,901,761
Alaska,AK,2016,30842,24876,4053,17766,3057,5966,4011,52,1053,850
Alaska,AK,2017,32337,26204,4171,17775,4258,6133,4257,62,863,951
Alaska,AK,2018,30865,24339,3979,16364,3996,6526,4391,47,1192,896
Alaska,AK,2019,27637,21294,3563,15114,2617,6343,4360,69,1088,826
Arizona,AZ,2000,299092,271811,51902,176705,43204,27281,17841,359,1577,7504
Arizona,AZ,2001,322549,293874,54821,186850,52203,28675,17889,400,1518,8868
Arizona,AZ,2002,348467,318296,59087,201541,57668,30171,20176,387,1608,8000
Arizona,AZ,2003,342973,314335,58613,198725,56997,28638,18722,441,1856,7619
Arizona,AZ,2004,320155,291203,56885,179012,55306,28952,18921,414,1896,7721
Arizona,AZ,2005,317823,287345,56328,176112,54905,30478,19448,445,2006,8579
Arizona,AZ,2006,327845,294389,59418,178321,56650,33456,20983,533,2449,9491
Arizona,AZ,2007,320143,287308,59988,177076,50244,32835,20170,548,2353,9764
Arizona,AZ,2008,298220,266653,58606,169460,38587,31567,19096,462,2200,9809
Arizona,AZ,2009,264849,236721,54308,155976,26437,28128,17270,380,2279,8199
Arizona,AZ,2010,253330,226802,50932,154137,21733,26528,16976,408,2191,6953
Arizona,AZ,2011,256685,229896,54695,155400,19801,26789,16748,397,2499,7145
Arizona,AZ,2012,260038,231930,52934,159838,19158,28108,18087,358,2277,7386
Arizona,AZ,2013,252842,225243,48533,159272,17438,27599,17490,357,3050,6702
Arizona,AZ,2014,242156,215240,43562,154091,17587,26916,16970,319,3378,6249
Arizona,AZ,2015,235119,207107,37957,152365,16785,28012,18235,309,3108,6360
Arizona,AZ,2016,239015,206432,37736,150275,18421,32583,21858,380,3290,7055
Arizona,AZ,2017,240159,204515,37627,147830,19058,35644,24207,416,3581,7440
Arizona,AZ,2018,226032,191974,31532,141303,19139,34058,23528,369,3638,6523
Arizona,AZ,2019,210779,177638,28699,130788,18151,33141,22704,365,3662,6410
Arkansas,AR,2000,110019,98115,21443,69740,6932,11904,8887,168,848,2001
Arkansas,AR,2001,111296,99106,22196,69590,7320,12190,8969,148,892,2181
Arkansas,AR,2002,112672,101171,23229,71129,6813,11501,8081,142,754,2524
Arkansas,AR,2003,111533,99084,25016,68061,6007,12449,9131,180,911,2227
Arkansas,AR,2004,124725,110911,30151,74242,6518,13814,10083,176,1183,2372
Arkansas,AR,2005,127584,112914,30118,75510,7286,14670,10747,189,1202,2532
Arkansas,AR,2006,127563,112025,31864,72646,7515,15538,11259,205,1325,2749
Arkansas,AR,2007,127356,112130,32035,73096,6999,15226,10629,198,1294,3105
Arkansas,AR,2008,125009,110360,33912,69905,6543,14649,10244,165,1463,2777
Arkansas,AR,2009,123983,109078,34753,68228,6097,14905,10772,179,1378,2576
Arkansas,AR,2010,118531,103820,32463,65796,5561,14711,10887,134,1321,2369
Arkansas,AR,2011,124603,110430,34016,70645,5769,14173,10426,160,1230,2357
Arkansas,AR,2012,121776,107941,31890,70327,5724,13835,10095,173,1247,2320
Arkansas,AR,2013,120234,106613,30485,70450,5678,13621,9781,159,1423,2258
Arkansas,AR,2014,113261,99018,24790,68627,5601,14243,10265,165,1763,2050
Arkansas,AR,2015,112362,96836,22640,68424,5772,15526,11316,181,1931,2098
