[Running] python -u "c:\Users\Crt\Crime_Stats_VSC\CleanStats_Crime.py"
State,Year,Total Crimes,Total Property Crime Count,Burglary,Larceny,Motor,Total Violent Crime Count,Assault,Murder,Rape,Robbery
State:Alabama, Year:2000, Total Crimes:202159, TPC Count:180539, Burglary:40331, Larceny:127399, Motor:12809, TVC Count:21620, Assault:14107, Murder:329, Rape:1482, Robbery:5702
State:Alabama, Year:2001, Total Crimes:192835, TPC Count:173253, Burglary:40642, Larceny:119992, Motor:12619, TVC Count:19582, Assault:12250, Murder:379, Rape:1369, Robbery:5584
State:Alabama, Year:2002, Total Crimes:200331, TPC Count:180400, Burglary:42578, Larceny:123932, Motor:13890, TVC Count:19931, Assault:12002, Murder:303, Rape:1664, Robbery:5962
State:Alabama, Year:2003, Total Crimes:201572, TPC Count:182241, Burglary:43245, Larceny:124039, Motor:14957, TVC Count:19331, Assault:11338, Murder:299, Rape:1656, Robbery:6038
State:Alabama, Year:2004, Total Crimes:201664, TPC Count:182340, Burglary:44666, Larceny:123650, Motor:14024, TVC Count:19324, Assault:11286, Murder:254, Rape:1742, Robbery:6042
State:Alabama, Year:2005, Total Crimes:197071, TPC Count:177393, Burglary:43473, Larceny:120780, Motor:13140, TVC Count:19678, Assault:11293, Murder:374, Rape:1564, Robbery:6447
State:Alabama, Year:2006, Total Crimes:200802, TPC Count:181249, Burglary:44780, Larceny:121451, Motor:15018, TVC Count:19553, Assault:10463, Murder:382, Rape:1646, Robbery:7062
State:Alabama, Year:2007, Total Crimes:204857, TPC Count:184082, Burglary:45379, Larceny:124465, Motor:14238, TVC Count:20775, Assault:11417, Murder:412, Rape:1548, Robbery:7398
State:Alabama, Year:2008, Total Crimes:211526, TPC Count:190416, Burglary:50411, Larceny:126539, Motor:13466, TVC Count:21110, Assault:11795, Murder:351, Rape:1618, Robbery:7346
State:Alabama, Year:2009, Total Crimes:199201, TPC Count:178007, Burglary:48844, Larceny:118072, Motor:11091, TVC Count:21194, Assault:13103, Murder:322, Rape:1504, Robbery:6265
State:Alabama, Year:2010, Total Crimes:187191, TPC Count:168828, Burglary:42484, Larceny:115564, Motor:10780, TVC Count:18363, Assault:11869, Murder:275, Rape:1355, Robbery:4864
State:Alabama, Year:2011, Total Crimes:193358, TPC Count:173192, Burglary:51119, Larceny:111411, Motor:10662, TVC Count:20166, Assault:13591, Murder:299, Rape:1370, Robbery:4906
State:Alabama, Year:2012, Total Crimes:190571, TPC Count:168878, Burglary:47481, Larceny:111523, Motor:9874, TVC Count:21693, Assault:15035, Murder:342, Rape:1296, Robbery:5020
State:Alabama, Year:2013, Total Crimes:182819, TPC Count:161993, Burglary:42429, Larceny:108993, Motor:10571, TVC Count:20826, Assault:13787, Murder:347, Rape:2044, Robbery:4648
State:Alabama, Year:2014, Total Crimes:174821, TPC Count:154094, Burglary:39715, Larceny:104238, Motor:10141, TVC Count:20727, Assault:13745, Murder:276, Rape:2005, Robbery:4701
State:Alabama, Year:2015, Total Crimes:167698, TPC Count:144746, Burglary:35255, Larceny:99156, Motor:10335, TVC Count:22952, Assault:15954, Murder:348, Rape:2039, Robbery:4611
State:Alabama, Year:2016, Total Crimes:169248, TPC Count:143362, Burglary:34065, Larceny:97574, Motor:11723, TVC Count:25886, Assault:18877, Murder:407, Rape:1916, Robbery:4686
State:Alabama, Year:2017, Total Crimes:169711, TPC Count:144160, Burglary:31477, Larceny:99842, Motor:12841, TVC Count:25551, Assault:18902, Murder:404, Rape:2028, Robbery:4217
State:Alabama, Year:2018, Total Crimes:163099, TPC Count:137700, Burglary:28841, Larceny:95747, Motor:13112, TVC Count:25399, Assault:18944, Murder:383, Rape:1996, Robbery:4076
State:Alabama, Year:2019, Total Crimes:156179, TPC Count:131133, Burglary:26079, Larceny:92477, Motor:12577, TVC Count:25046, Assault:18679, Murder:358, Rape:2068, Robbery:3941
State:Alaska, Year:2000, Total Crimes:26641, TPC Count:23087, Burglary:3899, Larceny:16838, Motor:2350, TVC Count:3554, Assault:2540, Murder:27, Rape:497, Robbery:490
State:Alaska, Year:2001, Total Crimes:26895, TPC Count:23160, Burglary:3847, Larceny:16695, Motor:2618, TVC Count:3735, Assault:2681, Murder:39, Rape:501, Robbery:514
State:Alaska, Year:2002, Total Crimes:27745, TPC Count:24118, Burglary:3908, Larceny:17739, Motor:2471, TVC Count:3627, Assault:2594, Murder:33, Rape:511, Robbery:489
State:Alaska, Year:2003, Total Crimes:28263, TPC Count:24386, Burglary:3874, Larceny:18051, Motor:2461, TVC Count:3877, Assault:2787, Murder:39, Rape:605, Robbery:446
State:Alaska, Year:2004, Total Crimes:26331, TPC Count:22172, Burglary:3773, Larceny:16159, Motor:2240, TVC Count:4159, Assault:3117, Murder:37, Rape:558, Robbery:447
State:Alaska, Year:2005, Total Crimes:28169, TPC Count:23975, Burglary:4131, Larceny:17249, Motor:2595, TVC Count:4194, Assault:3087, Murder:32, Rape:538, Robbery:537
State:Alaska, Year:2006, Total Crimes:28585, TPC Count:23975, Burglary:4155, Larceny:17284, Motor:2536, TVC Count:4610, Assault:3462, Murder:36, Rape:512, Robbery:600
State:Alaska, Year:2007, Total Crimes:27616, TPC Count:23096, Burglary:3734, Larceny:16929, Motor:2433, TVC Count:4520, Assault:3351, Murder:43, Rape:545, Robbery:581
State:Alaska, Year:2008, Total Crimes:24565, TPC Count:20090, Burglary:3237, Larceny:15225, Motor:1628, TVC Count:4475, Assault:3356, Murder:27, Rape:447, Robbery:645
State:Alaska, Year:2009, Total Crimes:24962, TPC Count:20538, Burglary:3600, Larceny:15251, Motor:1687, TVC Count:4424, Assault:3235, Murder:22, Rape:513, Robbery:654
State:Alaska, Year:2010, Total Crimes:24796, TPC Count:20259, Burglary:3105, Larceny:15535, Motor:1619, TVC Count:4537, Assault:3379, Murder:31, Rape:533, Robbery:594
State:Alaska, Year:2011, Total Crimes:23510, TPC Count:19094, Burglary:2852, Larceny:14854, Motor:1388, TVC Count:4416, Assault:3374, Murder:30, Rape:436, Robbery:576
State:Alaska, Year:2012, Total Crimes:24449, TPC Count:20037, Burglary:2950, Larceny:15565, Motor:1522, TVC Count:4412, Assault:3169, Murder:30, Rape:583, Robbery:630
State:Alaska, Year:2013, Total Crimes:25918, TPC Count:21210, Burglary:2916, Larceny:16599, Motor:1695, TVC Count:4708, Assault:3128, Murder:34, Rape:922, Robbery:624
State:Alaska, Year:2014, Total Crimes:25018, TPC Count:20334, Burglary:3150, Larceny:15445, Motor:1739, TVC Count:4684, Assault:3243, Murder:41, Rape:771, Robbery:629
State:Alaska, Year:2015, Total Crimes:26198, TPC Count:20806, Burglary:3511, Larceny:15249, Motor:2046, TVC Count:5392, Assault:3671, Murder:59, Rape:901, Robbery:761
State:Alaska, Year:2016, Total Crimes:30842, TPC Count:24876, Burglary:4053, Larceny:17766, Motor:3057, TVC Count:5966, Assault:4011, Murder:52, Rape:1053, Robbery:850
State:Alaska, Year:2017, Total Crimes:32337, TPC Count:26204, Burglary:4171, Larceny:17775, Motor:4258, TVC Count:6133, Assault:4257, Murder:62, Rape:863, Robbery:951
State:Alaska, Year:2018, Total Crimes:30865, TPC Count:24339, Burglary:3979, Larceny:16364, Motor:3996, TVC Count:6526, Assault:4391, Murder:47, Rape:1192, Robbery:896
State:Alaska, Year:2019, Total Crimes:27637, TPC Count:21294, Burglary:3563, Larceny:15114, Motor:2617, TVC Count:6343, Assault:4360, Murder:69, Rape:1088, Robbery:826
State:Arizona, Year:2000, Total Crimes:299092, TPC Count:271811, Burglary:51902, Larceny:176705, Motor:43204, TVC Count:27281, Assault:17841, Murder:359, Rape:1577, Robbery:7504
State:Arizona, Year:2001, Total Crimes:322549, TPC Count:293874, Burglary:54821, Larceny:186850, Motor:52203, TVC Count:28675, Assault:17889, Murder:400, Rape:1518, Robbery:8868
State:Arizona, Year:2002, Total Crimes:348467, TPC Count:318296, Burglary:59087, Larceny:201541, Motor:57668, TVC Count:30171, Assault:20176, Murder:387, Rape:1608, Robbery:8000
State:Arizona, Year:2003, Total Crimes:342973, TPC Count:314335, Burglary:58613, Larceny:198725, Motor:56997, TVC Count:28638, Assault:18722, Murder:441, Rape:1856, Robbery:7619
State:Arizona, Year:2004, Total Crimes:320155, TPC Count:291203, Burglary:56885, Larceny:179012, Motor:55306, TVC Count:28952, Assault:18921, Murder:414, Rape:1896, Robbery:7721
State:Arizona, Year:2005, Total Crimes:317823, TPC Count:287345, Burglary:56328, Larceny:176112, Motor:54905, TVC Count:30478, Assault:19448, Murder:445, Rape:2006, Robbery:8579
State:Arizona, Year:2006, Total Crimes:327845, TPC Count:294389, Burglary:59418, Larceny:178321, Motor:56650, TVC Count:33456, Assault:20983, Murder:533, Rape:2449, Robbery:9491
State:Arizona, Year:2007, Total Crimes:320143, TPC Count:287308, Burglary:59988, Larceny:177076, Motor:50244, TVC Count:32835, Assault:20170, Murder:548, Rape:2353, Robbery:9764
State:Arizona, Year:2008, Total Crimes:298220, TPC Count:266653, Burglary:58606, Larceny:169460, Motor:38587, TVC Count:31567, Assault:19096, Murder:462, Rape:2200, Robbery:9809
State:Arizona, Year:2009, Total Crimes:264849, TPC Count:236721, Burglary:54308, Larceny:155976, Motor:26437, TVC Count:28128, Assault:17270, Murder:380, Rape:2279, Robbery:8199
State:Arizona, Year:2010, Total Crimes:253330, TPC Count:226802, Burglary:50932, Larceny:154137, Motor:21733, TVC Count:26528, Assault:16976, Murder:408, Rape:2191, Robbery:6953
State:Arizona, Year:2011, Total Crimes:256685, TPC Count:229896, Burglary:54695, Larceny:155400, Motor:19801, TVC Count:26789, Assault:16748, Murder:397, Rape:2499, Robbery:7145
State:Arizona, Year:2012, Total Crimes:260038, TPC Count:231930, Burglary:52934, Larceny:159838, Motor:19158, TVC Count:28108, Assault:18087, Murder:358, Rape:2277, Robbery:7386
State:Arizona, Year:2013, Total Crimes:252842, TPC Count:225243, Burglary:48533, Larceny:159272, Motor:17438, TVC Count:27599, Assault:17490, Murder:357, Rape:3050, Robbery:6702
State:Arizona, Year:2014, Total Crimes:242156, TPC Count:215240, Burglary:43562, Larceny:154091, Motor:17587, TVC Count:26916, Assault:16970, Murder:319, Rape:3378, Robbery:6249
State:Arizona, Year:2015, Total Crimes:235119, TPC Count:207107, Burglary:37957, Larceny:152365, Motor:16785, TVC Count:28012, Assault:18235, Murder:309, Rape:3108, Robbery:6360
State:Arizona, Year:2016, Total Crimes:239015, TPC Count:206432, Burglary:37736, Larceny:150275, Motor:18421, TVC Count:32583, Assault:21858, Murder:380, Rape:3290, Robbery:7055
State:Arizona, Year:2017, Total Crimes:240159, TPC Count:204515, Burglary:37627, Larceny:147830, Motor:19058, TVC Count:35644, Assault:24207, Murder:416, Rape:3581, Robbery:7440
State:Arizona, Year:2018, Total Crimes:226032, TPC Count:191974, Burglary:31532, Larceny:141303, Motor:19139, TVC Count:34058, Assault:23528, Murder:369, Rape:3638, Robbery:6523
State:Arizona, Year:2019, Total Crimes:210779, TPC Count:177638, Burglary:28699, Larceny:130788, Motor:18151, TVC Count:33141, Assault:22704, Murder:365, Rape:3662, Robbery:6410
State:Arkansas, Year:2000, Total Crimes:110019, TPC Count:98115, Burglary:21443, Larceny:69740, Motor:6932, TVC Count:11904, Assault:8887, Murder:168, Rape:848, Robbery:2001
State:Arkansas, Year:2001, Total Crimes:111296, TPC Count:99106, Burglary:22196, Larceny:69590, Motor:7320, TVC Count:12190, Assault:8969, Murder:148, Rape:892, Robbery:2181
State:Arkansas, Year:2002, Total Crimes:112672, TPC Count:101171, Burglary:23229, Larceny:71129, Motor:6813, TVC Count:11501, Assault:8081, Murder:142, Rape:754, Robbery:2524
State:Arkansas, Year:2003, Total Crimes:111533, TPC Count:99084, Burglary:25016, Larceny:68061, Motor:6007, TVC Count:12449, Assault:9131, Murder:180, Rape:911, Robbery:2227
State:Arkansas, Year:2004, Total Crimes:124725, TPC Count:110911, Burglary:30151, Larceny:74242, Motor:6518, TVC Count:13814, Assault:10083, Murder:176, Rape:1183, Robbery:2372
State:Arkansas, Year:2005, Total Crimes:127584, TPC Count:112914, Burglary:30118, Larceny:75510, Motor:7286, TVC Count:14670, Assault:10747, Murder:189, Rape:1202, Robbery:2532
State:Arkansas, Year:2006, Total Crimes:127563, TPC Count:112025, Burglary:31864, Larceny:72646, Motor:7515, TVC Count:15538, Assault:11259, Murder:205, Rape:1325, Robbery:2749
State:Arkansas, Year:2007, Total Crimes:127356, TPC Count:112130, Burglary:32035, Larceny:73096, Motor:6999, TVC Count:15226, Assault:10629, Murder:198, Rape:1294, Robbery:3105
State:Arkansas, Year:2008, Total Crimes:125009, TPC Count:110360, Burglary:33912, Larceny:69905, Motor:6543, TVC Count:14649, Assault:10244, Murder:165, Rape:1463, Robbery:2777
State:Arkansas, Year:2009, Total Crimes:123983, TPC Count:109078, Burglary:34753, Larceny:68228, Motor:6097, TVC Count:14905, Assault:10772, Murder:179, Rape:1378, Robbery:2576
State:Arkansas, Year:2010, Total Crimes:118531, TPC Count:103820, Burglary:32463, Larceny:65796, Motor:5561, TVC Count:14711, Assault:10887, Murder:134, Rape:1321, Robbery:2369
State:Arkansas, Year:2011, Total Crimes:124603, TPC Count:110430, Burglary:34016, Larceny:70645, Motor:5769, TVC Count:14173, Assault:10426, Murder:160, Rape:1230, Robbery:2357
State:Arkansas, Year:2012, Total Crimes:121776, TPC Count:107941, Burglary:31890, Larceny:70327, Motor:5724, TVC Count:13835, Assault:10095, Murder:173, Rape:1247, Robbery:2320
State:Arkansas, Year:2013, Total Crimes:120234, TPC Count:106613, Burglary:30485, Larceny:70450, Motor:5678, TVC Count:13621, Assault:9781, Murder:159, Rape:1423, Robbery:2258
State:Arkansas, Year:2014, Total Crimes:113261, TPC Count:99018, Burglary:24790, Larceny:68627, Motor:5601, TVC Count:14243, Assault:10265, Murder:165, Rape:1763, Robbery:2050
State:Arkansas, Year:2015, Total Crimes:112362, TPC Count:96836, Burglary:22640, Larceny:68424, Motor:5772, TVC Count:15526, Assault:11316, Murder:181, Rape:1931, Robbery:2098
State:Arkansas, Year:2016, Total Crimes:114134, TPC Count:97673, Burglary:23771, Larceny:66747, Motor:7155, TVC Count:16461, Assault:11982, Murder:216, Rape:2143, Robbery:2120
State:Arkansas, Year:2017, Total Crimes:109160, TPC Count:92489, Burglary:21862, Larceny:63374, Motor:7253, TVC Count:16671, Assault:12425, Murder:258, Rape:2053, Robbery:1935
State:Arkansas, Year:2018, Total Crimes:104177, TPC Count:87793, Burglary:19193, Larceny:61487, Motor:7113, TVC Count:16384, Assault:12378, Murder:216, Rape:2196, Robbery:1594
State:Arkansas, Year:2019, Total Crimes:103893, TPC Count:86250, Burglary:18095, Larceny:60735, Motor:7420, TVC Count:17643, Assault:13513, Murder:242, Rape:2331, Robbery:1557
State:California, Year:2000, Total Crimes:1266714, TPC Count:1056183, Burglary:222293, Larceny:651855, Motor:182035, TVC Count:210531, Assault:138418, Murder:2079, Rape:9785, Robbery:60249
State:California, Year:2001, Total Crimes:1347056, TPC Count:1134189, Burglary:232273, Larceny:697739, Motor:204177, TVC Count:212867, Assault:136087, Murder:2206, Rape:9960, Robbery:64614
State:California, Year:2002, Total Crimes:1384872, TPC Count:1176484, Burglary:238428, Larceny:715692, Motor:222364, TVC Count:208388, Assault:130827, Murder:2395, Rape:10198, Robbery:64968
State:California, Year:2003, Total Crimes:1420637, TPC Count:1215086, Burglary:242274, Larceny:731486, Motor:241326, TVC Count:205551, Assault:129380, Murder:2407, Rape:9994, Robbery:63770
State:California, Year:2004, Total Crimes:1416369, TPC Count:1227194, Burglary:245903, Larceny:728687, Motor:252604, TVC Count:189175, Assault:115400, Murder:2392, Rape:9615, Robbery:61768
State:California, Year:2005, Total Crimes:1390709, TPC Count:1200531, Burglary:250521, Larceny:692467, Motor:257543, TVC Count:190178, Assault:114661, Murder:2503, Rape:9392, Robbery:63622
State:California, Year:2006, Total Crimes:1354471, TPC Count:1159988, Burglary:247230, Larceny:669103, Motor:243655, TVC Count:194483, Assault:111620, Murder:2486, Rape:9235, Robbery:71142
State:California, Year:2007, Total Crimes:1304071, TPC Count:1112510, Burglary:237850, Larceny:654526, Motor:220134, TVC Count:191561, Assault:109547, Murder:2262, Rape:9046, Robbery:70706
State:California, Year:2008, Total Crimes:1266325, TPC Count:1080996, Burglary:237811, Larceny:650656, Motor:192529, TVC Count:185329, Assault:104896, Murder:2142, Rape:8903, Robbery:69388
State:California, Year:2009, Total Crimes:1184367, TPC Count:1009433, Burglary:230198, Larceny:615402, Motor:163833, TVC Count:174934, Assault:100156, Murder:1972, Rape:8713, Robbery:64093
State:California, Year:2010, Total Crimes:1146072, TPC Count:981939, Burglary:228857, Larceny:600558, Motor:152524, TVC Count:164133, Assault:95877, Murder:1809, Rape:8331, Robbery:58116
State:California, Year:2011, Total Crimes:1128765, TPC Count:973822, Burglary:230075, Larceny:596905, Motor:146842, TVC Count:154943, Assault:91195, Murder:1792, Rape:7665, Robbery:54291
State:California, Year:2012, Total Crimes:1210409, TPC Count:1049465, Burglary:245767, Larceny:635090, Motor:168608, TVC Count:160944, Assault:94702, Murder:1884, Rape:7837, Robbery:56521
State:California, Year:2013, Total Crimes:1173036, TPC Count:1018907, Burglary:232058, Larceny:621557, Motor:165292, TVC Count:154129, Assault:89029, Murder:1746, Rape:9714, Robbery:53640
State:California, Year:2014, Total Crimes:1100901, TPC Count:947192, Burglary:202670, Larceny:592670, Motor:151852, TVC Count:153709, Assault:91803, Murder:1699, Rape:11527, Robbery:48680
State:California, Year:2015, Total Crimes:1191797, TPC Count:1024914, Burglary:197404, Larceny:656517, Motor:170993, TVC Count:166883, Assault:99349, Murder:1861, Rape:12811, Robbery:52862
State:California, Year:2016, Total Crimes:1176866, TPC Count:1002070, Burglary:188304, Larceny:637010, Motor:176756, TVC Count:174796, Assault:104375, Murder:1930, Rape:13702, Robbery:54789
State:California, Year:2017, Total Crimes:1164741, TPC Count:987114, Burglary:176690, Larceny:642033, Motor:168391, TVC Count:177627, Assault:104454, Murder:1830, Rape:14721, Robbery:56622
State:California, Year:2018, Total Crimes:1118600, TPC Count:941618, Burglary:164632, Larceny:621775, Motor:155211, TVC Count:176982, Assault:105412, Murder:1739, Rape:15505, Robbery:54326
State:California, Year:2019, Total Crimes:1095445, TPC Count:921114, Burglary:152555, Larceny:626802, Motor:141757, TVC Count:174331, Assault:105541, Murder:1690, Rape:14799, Robbery:52301
State:Colorado, Year:2000, Total Crimes:171304, TPC Count:156937, Burglary:27133, Larceny:112843, Motor:16961, TVC Count:14367, Assault:9425, Murder:134, Rape:1774, Robbery:3034
State:Colorado, Year:2001, Total Crimes:186379, TPC Count:170887, Burglary:28533, Larceny:121360, Motor:20994, TVC Count:15492, Assault:9849, Murder:158, Rape:1930, Robbery:3555
State:Colorado, Year:2002, Total Crimes:195936, TPC Count:180054, Burglary:31678, Larceny:125193, Motor:23183, TVC Count:15882, Assault:10058, Murder:179, Rape:2066, Robbery:3579
State:Colorado, Year:2003, Total Crimes:195463, TPC Count:179706, Burglary:32394, Larceny:124496, Motor:22816, TVC Count:15757, Assault:9921, Murder:185, Rape:1913, Robbery:3738
State:Colorado, Year:2004, Total Crimes:197443, TPC Count:180322, Burglary:33010, Larceny:123308, Motor:24004, TVC Count:17121, Assault:11236, Murder:201, Rape:1945, Robbery:3739
State:Colorado, Year:2005, Total Crimes:206947, TPC Count:188449, Burglary:34746, Larceny:127602, Motor:26101, TVC Count:18498, Assault:12351, Murder:173, Rape:2026, Robbery:3948
State:Colorado, Year:2006, Total Crimes:182233, TPC Count:163439, Burglary:32411, Larceny:110372, Motor:20656, TVC Count:18794, Assault:12641, Murder:171, Rape:2158, Robbery:3824
State:Colorado, Year:2007, Total Crimes:162909, TPC Count:145808, Burglary:28633, Larceny:100519, Motor:16656, TVC Count:17101, Assault:11410, Murder:155, Rape:2075, Robbery:3461
State:Colorado, Year:2008, Total Crimes:156820, TPC Count:139340, Burglary:28054, Larceny:97937, Motor:13349, TVC Count:17480, Assault:11760, Murder:165, Rape:2151, Robbery:3404
State:Colorado, Year:2009, Total Crimes:151218, TPC Count:134196, Burglary:26637, Larceny:95079, Motor:12480, TVC Count:17022, Assault:11223, Murder:159, Rape:2269, Robbery:3371
State:Colorado, Year:2010, Total Crimes:151340, TPC Count:135001, Burglary:26196, Larceny:97534, Motor:11271, TVC Count:16339, Assault:10816, Murder:129, Rape:2230, Robbery:3164
State:Colorado, Year:2011, Total Crimes:148866, TPC Count:132781, Burglary:25725, Larceny:96054, Motor:11002, TVC Count:16085, Assault:10346, Murder:155, Rape:2285, Robbery:3299
State:Colorado, Year:2012, Total Crimes:155293, TPC Count:139270, Burglary:26157, Larceny:101021, Motor:12092, TVC Count:16023, Assault:10353, Murder:162, Rape:2113, Robbery:3395
State:Colorado, Year:2013, Total Crimes:156283, TPC Count:140057, Burglary:25081, Larceny:102443, Motor:12533, TVC Count:16226, Assault:9963, Murder:178, Rape:2934, Robbery:3151
State:Colorado, Year:2014, Total Crimes:152064, TPC Count:135510, Burglary:23472, Larceny:99464, Motor:12574, TVC Count:16554, Assault:10325, Murder:151, Rape:3039, Robbery:3039
State:Colorado, Year:2015, Total Crimes:161651, TPC Count:144136, Burglary:23454, Larceny:104682, Motor:16000, TVC Count:17515, Assault:10759, Murder:176, Rape:3257, Robbery:3323
State:Colorado, Year:2016, Total Crimes:170833, TPC Count:151850, Burglary:23903, Larceny:108336, Motor:19611, TVC Count:18983, Assault:11696, Murder:204, Rape:3555, Robbery:3528
State:Colorado, Year:2017, Total Crimes:172121, TPC Count:151483, Burglary:22813, Larceny:106809, Motor:21861, TVC Count:20638, Assault:12721, Murder:221, Rape:3858, Robbery:3838
State:Colorado, Year:2018, Total Crimes:174787, TPC Count:152163, Burglary:21371, Larceny:109119, Motor:21673, TVC Count:22624, Assault:14547, Murder:210, Rape:4070, Robbery:3797
State:Colorado, Year:2019, Total Crimes:171127, TPC Count:149189, Burglary:20064, Larceny:107012, Motor:22113, TVC Count:21938, Assault:14185, Murder:218, Rape:3872, Robbery:3663
State:Connecticut, Year:2000, Total Crimes:110091, TPC Count:99033, Burglary:17436, Larceny:68498, Motor:13099, TVC Count:11058, Assault:6450, Murder:98, Rape:678, Robbery:3832
State:Connecticut, Year:2001, Total Crimes:106791, TPC Count:95299, Burglary:17159, Larceny:65762, Motor:12378, TVC Count:11492, Assault:6565, Murder:105, Rape:639, Robbery:4183
State:Connecticut, Year:2002, Total Crimes:104233, TPC Count:93426, Burglary:17111, Larceny:64735, Motor:11580, TVC Count:10807, Assault:5914, Murder:84, Rape:740, Robbery:4069
State:Connecticut, Year:2003, Total Crimes:104026, TPC Count:92981, Burglary:16043, Larceny:65568, Motor:11370, TVC Count:11045, Assault:6023, Murder:112, Rape:698, Robbery:4212
State:Connecticut, Year:2004, Total Crimes:104055, TPC Count:93942, Burglary:15959, Larceny:66770, Motor:11213, TVC Count:10113, Assault:5070, Murder:100, Rape:755, Robbery:4188
State:Connecticut, Year:2005, Total Crimes:99812, TPC Count:90270, Burglary:15245, Larceny:64416, Motor:10609, TVC Count:9542, Assault:4792, Murder:105, Rape:712, Robbery:3933
State:Connecticut, Year:2006, Total Crimes:101143, TPC Count:90638, Burglary:15583, Larceny:64765, Motor:10290, TVC Count:10505, Assault:5212, Murder:137, Rape:696, Robbery:4460
State:Connecticut, Year:2007, Total Crimes:97075, TPC Count:86528, Burglary:15640, Larceny:60937, Motor:9951, TVC Count:10547, Assault:5441, Murder:113, Rape:690, Robbery:4303
State:Connecticut, Year:2008, Total Crimes:97947, TPC Count:87210, Burglary:15107, Larceny:63212, Motor:8891, TVC Count:10737, Assault:5882, Murder:132, Rape:680, Robbery:4043
State:Connecticut, Year:2009, Total Crimes:93213, TPC Count:82625, Burglary:15172, Larceny:59992, Motor:7461, TVC Count:10588, Assault:5824, Murder:106, Rape:657, Robbery:4001
State:Connecticut, Year:2010, Total Crimes:88342, TPC Count:78259, Burglary:15145, Larceny:56413, Motor:6701, TVC Count:10083, Assault:5802, Murder:133, Rape:595, Robbery:3553
State:Connecticut, Year:2011, Total Crimes:87094, TPC Count:77205, Burglary:15468, Larceny:55067, Motor:6670, TVC Count:9889, Assault:5382, Murder:129, Rape:689, Robbery:3689
State:Connecticut, Year:2012, Total Crimes:86994, TPC Count:76834, Burglary:14711, Larceny:55674, Motor:6449, TVC Count:10160, Assault:5408, Murder:146, Rape:919, Robbery:3687
State:Connecticut, Year:2013, Total Crimes:80430, TPC Count:70990, Burglary:12892, Larceny:51876, Motor:6222, TVC Count:9440, Assault:4869, Murder:86, Rape:955, Robbery:3530
State:Connecticut, Year:2014, Total Crimes:77592, TPC Count:69070, Burglary:11955, Larceny:51005, Motor:6110, TVC Count:8522, Assault:4495, Murder:86, Rape:782, Robbery:3159
State:Connecticut, Year:2015, Total Crimes:72911, TPC Count:65066, Burglary:10053, Larceny:48675, Motor:6338, TVC Count:7845, Assault:4063, Murder:117, Rape:773, Robbery:2892
State:Connecticut, Year:2016, Total Crimes:72787, TPC Count:64664, Burglary:10045, Larceny:47512, Motor:7107, TVC Count:8123, Assault:4579, Murder:78, Rape:763, Robbery:2703
State:Connecticut, Year:2017, Total Crimes:71689, TPC Count:63509, Burglary:8890, Larceny:47310, Motor:7309, TVC Count:8180, Assault:4428, Murder:102, Rape:837, Robbery:2813
State:Connecticut, Year:2018, Total Crimes:67466, TPC Count:60055, Burglary:7948, Larceny:44724, Motor:7383, TVC Count:7411, Assault:4294, Murder:83, Rape:840, Robbery:2194
State:Connecticut, Year:2019, Total Crimes:57408, TPC Count:50862, Burglary:6441, Larceny:38457, Motor:5964, TVC Count:6546, Assault:3742, Murder:104, Rape:771, Robbery:1929
State:Delaware, Year:2000, Total Crimes:35090, TPC Count:29727, Burglary:5216, Larceny:21360, Motor:3151, TVC Count:5363, Assault:3520, Murder:25, Rape:424, Robbery:1394
State:Delaware, Year:2001, Total Crimes:32267, TPC Count:27399, Burglary:5144, Larceny:19476, Motor:2779, TVC Count:4868, Assault:3269, Murder:23, Rape:420, Robbery:1156
State:Delaware, Year:2002, Total Crimes:31803, TPC Count:26967, Burglary:5355, Larceny:18555, Motor:3057, TVC Count:4836, Assault:3298, Murder:26, Rape:358, Robbery:1154
State:Delaware, Year:2003, Total Crimes:33468, TPC Count:27943, Burglary:6066, Larceny:18933, Motor:2944, TVC Count:5525, Assault:3693, Murder:21, Rape:370, Robbery:1441
State:Delaware, Year:2004, Total Crimes:32361, TPC Count:27256, Burglary:5669, Larceny:19285, Motor:2302, TVC Count:5105, Assault:3377, Murder:28, Rape:357, Robbery:1343
State:Delaware, Year:2005, Total Crimes:31577, TPC Count:26245, Burglary:5811, Larceny:18085, Motor:2349, TVC Count:5332, Assault:3612, Murder:37, Rape:377, Robbery:1306
State:Delaware, Year:2006, Total Crimes:35653, TPC Count:29670, Burglary:6337, Larceny:20449, Motor:2884, TVC Count:5983, Assault:3733, Murder:42, Rape:417, Robbery:1791
State:Delaware, Year:2007, Total Crimes:35316, TPC Count:29216, Burglary:6420, Larceny:20454, Motor:2342, TVC Count:6100, Assault:3957, Murder:39, Rape:341, Robbery:1763
State:Delaware, Year:2008, Total Crimes:37572, TPC Count:31385, Burglary:6783, Larceny:22045, Motor:2557, TVC Count:6187, Assault:3912, Murder:57, Rape:371, Robbery:1847
State:Delaware, Year:2009, Total Crimes:35398, TPC Count:29685, Burglary:6943, Larceny:20836, Motor:1906, TVC Count:5713, Assault:3597, Murder:41, Rape:395, Robbery:1680
State:Delaware, Year:2010, Total Crimes:36686, TPC Count:31078, Burglary:7550, Larceny:21593, Motor:1935, TVC Count:5608, Assault:3392, Murder:51, Rape:326, Robbery:1839
